name,reports,points,rank,points_per_report
rabhi,5610,84713,1,15.1004
Raphaël Kevin Arrouas,1117,26449,2,23.6786
drak3hft7,1294,15779,4,12.194
Noam,652,14295,5,21.9248
Supr4s,873,14224,6,16.2932
freesec,893,14077,7,15.7637
GoDiego,752,12013,9,15.9747
Amel Bouziane-Leblond,701,11961,10,17.0628
Edra,630,10894,11,17.2921
reptou,459,10555,12,22.9956
Zhiyuan CAI,409,10276,14,25.1247
Elweth,550,10269,15,18.6709
Hisxo,452,9627,16,21.2987
bytehx,696,8360,17,12.0115
Chackal,432,8265,18,19.1319
debutant92,505,7922,20,15.6871
Xiety,1540,7620,21,4.9481
YoyoDavelion,658,7546,22,11.4681
SaxX,480,7531,23,15.6896
adibou,360,7438,24,20.6611
xavoppa,606,7308,25,12.0594
BLUEHACK,512,7053,27,13.7754
Lucien DOUSTALY,429,6876,30,16.028
Muhammad Usman,480,6860,31,14.2917
kuromatae,344,6858,32,19.936
kto94,360,6693,33,18.5917
c14dd49h,424,6592,34,15.5472
Vozec,422,6549,35,15.519
truff,392,6236,38,15.9082
d0xing,349,6151,39,17.6246
Czeppo,667,6003,40,9.0
Sicarius,249,5755,42,23.1124
hansluz,264,5665,43,21.4583
Aituglo,302,5498,44,18.2053
0xsnpaii,436,5448,45,12.4954
pwnwithlove,226,5337,46,23.615
Hannan Haseeb,562,5295,47,9.4217
Brun Romain,280,5251,48,18.7536
djamel-ghorab,598,5222,49,8.7324
Blaklis,229,5140,50,22.4454
zc,154,4876,51,31.6623
Léo Jorand,297,4685,52,15.7744
Baptiste Devigne,138,4675,53,33.8768
Bizi,277,4327,55,15.6209
secuaudit,396,4309,56,10.8813
Serizao,245,4257,57,17.3755
W0rty,261,4181,58,16.0192
Al7eX,348,4159,59,11.9511
cuirmousthack,194,4036,61,20.8041
Augras Brice,154,4023,62,26.1234
Perce,256,4019,63,15.6992
zere,234,3995,64,17.0726
h0rus3c,283,3958,65,13.9859
n13s,633,3956,66,6.2496
ctfpoulpe,168,3919,67,23.3274
Nicknam3,225,3817,68,16.9644
lunderquist,193,3745,69,19.4041
effrite,214,3670,70,17.1495
Naïm Gallouj,198,3577,71,18.0657
Yox,236,3481,73,14.75
hktn0x,225,3286,80,14.6044
0xd0m7,180,3233,82,17.9611
m0kr4n3,162,3175,83,19.5988
Martin Herancourt,147,3085,84,20.9864
Jakick,215,3070,85,14.2791
Tom Chambaretaud,115,3061,86,26.6174
Nishacid,113,3012,87,26.6549
N0xi0us,216,2998,88,13.8796
Ric0s,175,2975,89,17.0
Mekky,98,2898,90,29.5714
Nicolas VERDIER,144,2844,92,19.75
ghazidz00,235,2834,93,12.0596
Philip Sinnott,148,2659,95,17.9662
s5s,184,2655,96,14.4293
Liodeus,135,2622,97,19.4222
foobar7,176,2615,98,14.858
Sonny,101,2590,99,25.6436
Brumens,157,2586,100,16.4713
